	ES.mean	HDAC1.mean	ES_HDAC1
100001_at	60.9877336941887	56.5518317915346	1.07843957944645
100002_at	114.238159846628	109.42197670303	1.04401477005547
100003_at	71.9102552828271	75.4181409068582	0.953487508683575
100004_at	302.324978385394	297.255819275871	1.01705318712304
100005_at	1689.47392160456	1523.35050543231	1.10905134148698
100006_at	50.0689538943679	50.1715720514596	0.997954655337759
100007_at	926.197529813646	952.35011601516	0.972538895347709
100009_r_at	3472.45683453809	4523.00479263739	0.767732291637321
100010_at	952.436742498339	913.995255097509	1.04205873847423
100011_at	443.905711348297	447.931255388343	0.991013031594421
100012_at	1174.51733127762	1626.93632992425	0.72191966561611
100013_at	207.877428550139	196.580812196539	1.0574655085986
100014_at	218.10468236076	195.650244211723	1.11476826026722
100015_at	335.469129523825	460.441496795249	0.728581441635359
100016_at	259.949097843431	257.833714277299	1.00820444902662
100017_at	77.9960727397887	80.5127212846675	0.968742224772397
100018_at	419.907606274911	438.128979393349	0.958410938386984
100019_at	471.465473898589	460.261651436527	1.02434228971085
100020_at	416.54988989386	405.128726536243	1.02819144289092
100021_at	47.7857805054839	44.9123202801263	1.06397933144926
100022_at	289.621048593967	294.637680248609	0.982973557046711
100023_at	3349.26415939029	4705.66224038279	0.711751925297095
100024_at	450.664000197703	459.498705715938	0.980773165607789
100026_at	3359.88439792191	4863.00065364217	0.690907659123077
100027_s_at	1090.92725487914	1074.15616481252	1.01561326985406
100028_r_at	409.582401162181	420.591987797558	0.973823593994197
100029_at	2335.32025999053	2350.20514354583	0.993666559876195
100030_at	2398.41898121404	3255.00999204056	0.736839206969831
100032_at	862.39211541411	835.821708412432	1.03178956317388
100033_at	2360.14379879105	2396.50845937481	0.984825982799475
100034_at	56.2063346629492	54.0003255694654	1.04085177395173
100035_at	50.0181195872821	48.2990281806993	1.03559267072934
100037_at	1213.57844869205	1248.84858988621	0.971757872427615
100039_at	954.010942904379	954.778410174871	0.999196182839585
100040_at	494.048027994921	485.301951406998	1.01802192750836
100041_at	2436.5069380044	3236.88176136008	0.752732758758732
100042_at	357.728586314008	372.18593129526	0.961155584438835
100043_f_at	311.903281734803	312.265283770953	0.998840722760536
100044_at	58.4143220757984	53.7399177546095	1.08698197757826
100046_at	3046.04408901695	3462.42929206094	0.879741889892532
100047_at	47.9906878088304	47.3356281619221	1.01383861738705
100048_at	83.6438363002249	89.494525026131	0.934625177079851
100049_at	50.9278223265666	46.7889552068417	1.08845820774215
100050_at	552.427145351867	504.221807857735	1.09560343631098
100051_at	1330.46293005819	1301.32398737598	1.02239176635864
100052_at	158.758129714692	184.222237331426	0.861775060461767
100054_s_at	604.969585993722	561.200365795649	1.0779921448127
100056_at	674.010401757342	749.479470098275	0.899304688984961
100057_at	425.421728818263	417.645623747972	1.01861890710241
100058_at	342.254920681978	314.00077200532	1.08998114398323
100059_at	1445.04965740467	1419.55261378715	1.01796132342675
100060_i_at	40.5236721505282	42.9790005491939	0.942871440301286
100061_f_at	162.946499101721	191.706887211884	0.8499772828799
100062_at	1134.16261114874	1224.73683664463	0.926045969398589
100064_f_at	3622.86291501722	1337.51107505264	2.70866012445889
100065_r_at	244.066194959008	108.636703662497	2.24662739875882
100066_at	2256.79468700919	1911.91536058505	1.18038420190243
100067_at	153.118356773192	155.589956423763	0.984114658122026
100068_at	50.3880307797117	48.9177388909202	1.0300564155688
100069_at	91.3284162719933	87.9152621884821	1.03882322589443
100071_at	422.237486843666	424.791576418235	0.993987428856041
100072_at	1006.15204058897	1041.44700771135	0.966109685023774
100073_at	296.617865458819	170.629047995597	1.7383784821121
100074_at	1264.82488405931	1285.12123786923	0.984206662210667
100078_at	241.155949397395	242.324790802894	0.995176550440315
100079_at	1092.22055044824	1107.18560586191	0.98648369764343
100080_at	358.355681295935	329.497344662828	1.08758291106302
100081_at	1343.10220071999	1443.06472978226	0.930729005429059
100082_at	391.976963009687	389.962966620555	1.00516458372082
100084_at	1499.95032176038	1530.31384426931	0.980158630451765
100085_at	197.093202812232	228.226357938762	0.863586505048275
100086_at	766.891997563285	917.632183264925	0.835729185995517
100088_at	899.36723312846	922.589503342729	0.974829249487307
100089_at	386.419832391022	281.81447695737	1.37118517317858
100091_at	1811.25946128142	1789.99900949684	1.01187735393807
100093_at	1069.45958329507	1351.23328715653	0.791469240330501
100094_at	1679.85194696424	1525.67198633607	1.10105708304866
100095_at	886.513316856913	995.496605096715	0.89052369673404
100099_at	999.040806482258	892.933477459988	1.11883004915898
100100_at	49.5088697758909	49.5621933083292	0.998924108703048
100101_at	2723.23431317627	2744.65353606144	0.992196019423306
100103_f_at	856.167475505609	858.593583025233	0.997174323722434
100104_r_at	44.5391941885737	45.928515767515	0.969750348868798
100106_at	520.983830225266	554.298039527486	0.939898381508584
100109_s_at	64.7189731631123	54.6746894260873	1.1837099367634
100112_at	164.271658011099	157.441029037355	1.043385317128
100113_s_at	256.125787743281	250.569308661528	1.02217541769754
100115_at	764.651947310069	727.298390805915	1.05135932785822
100116_at	756.801356086102	637.485323672376	1.18716671268035
100117_at	51.9145815187258	53.4026778239647	0.972134425353271
100120_at	65.9256168461277	59.0012625173576	1.11735942644843
100122_at	104.416859812686	105.017777224263	0.994277945815847
100123_f_at	4560.12229496962	3683.84501288417	1.23787029015083
100124_r_at	1150.3677674909	952.410066645057	1.20784923194184
100125_at	1229.74769441977	1155.62203937548	1.06414351104307
100126_at	481.891869921263	413.813032377931	1.16451593404907
100127_at	88.1149951601595	108.539071202154	0.81182742936915
100128_at	3067.64397518434	3521.07662045462	0.871223294989888
